Chủ đề,Từ khoá tổng,Nhóm từ khóa,Key có AIO,TOP lên AIO,Trang đích dự kiến,Volume,Phương án,URL Đúng,URL SERP,Đánh giá LP,Tối ưu nhanh,Now,2026-07-09 00:00:00,2026-07-02 00:00:00,2026-06-30 00:00:00,2026-06-29 00:00:00,2026-06-27 00:00:00,2026-06-25 00:00:00,2026-06-22 00:00:00,2026-06-06 00:00:00,2026-06-02 00:00:00,2026-05-26 00:00:00,2026-05-22 00:00:00,2026-05-12 00:00:00,2026-05-06 00:00:00,,,,,,,,,,
Phân bón lá,thuốc bortrac,bortrac yara,11,1,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/bortrac,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,,,,,,,,,
Phân bón lá,bortrac yara,bortrac yara,,,Sản phẩm,90,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/bortrac,Chưa có,"Title, meta",1,1,1,1,1,1,1,1,1,1,1,3,3,3,,,,,,,,,,
Thuốc điều hoà sinh trưởng,brightstar hợp trí,brightstar hợp trí,,,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/dieu-hoa-sinh-truong/brightstar-25sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ sâu,thuốc paclo hợp trí,brightstar hợp trí,5,2,Sản phẩm,140,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/dieu-hoa-sinh-truong/brightstar-25sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc điều hòa sinh trưởng hợp trí,brightstar hợp trí,8,1,Sản phẩm,30,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/dieu-hoa-sinh-truong/brightstar-25sc,Chưa có,,1,1,1,1,1,2,1,1,2,2,2,1,1,2,,,,,,,,,,
Thuốc điều hoà sinh trưởng,điều hòa sinh trưởng hợp trí,brightstar hợp trí,,,Sản phẩm,20,,,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/hop-tri-organo-forge-phan-bon-la-huu-co-co-chua-chat-dieu-hoa-sinh-truong-theo-cong-thuc-vang-1-1-2-can-doi-khoe-cay-ben-cay,Chưa có,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,casi hợp trí,casi hợp trí,,,Sản phẩm,480,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-casi,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,hợp trí casi,casi hợp trí,,,Sản phẩm,140,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-casi,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Quy trình,quy trình sầu riêng hợp trí,Chăm sóc - cây trồng - sầu riêng,5,3,Bài viết,20,,,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/ky-thuat-cham-soc-va-phong-tru-sau-benh-hai-sau-rieng,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,công ty cổ phần hợp trí summit,công ty cổ phần hợp trí summit,,,Trang chủ,320,,,https://www.hoptrisummit.com/gioi-thieu,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,công ty hợp trí,công ty cổ phần hợp trí summit,,,Trang chủ,260,,,https://www.hoptrisummit.com/,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,hợp trí summit,công ty cổ phần hợp trí summit,,,Trang chủ,170,,,https://www.hoptrisummit.com/,Chưa có,,1,1,1,-,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,eddy hợp trí,eddy hợp trí,,,Sản phẩm,260,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/eddy-72wp,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc eddy hợp trí,eddy hợp trí,,,Sản phẩm,20,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/eddy-72wp,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,humic hợp trí,humic hợp trí,,,Sản phẩm,880,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,hợp trí super humic,humic hợp trí,,,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,hợp trí humic,humic hợp trí,,,Sản phẩm,50,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,super humic hợp trí,humic hợp trí,,,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,1,1,1,1,-,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Phân bón lá,phân bón humic hợp trí,humic hợp trí,,,Sản phẩm,20,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,cách sử dụng humic hợp trí,humic hợp trí,5,2,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,1,1,1,1,1,1,2,1,1,2,2,2,2,2,,,,,,,,,,
Thương hiệu,humic hợp trí 1kg,humic hợp trí,,,Sản phẩm,210,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,3,3,2,,,,,,,,,,
Thuốc trừ bệnh,keviar,keviar,,,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/keviar-325sc,Chưa có,,1,1,-,1,1,1,1,1,1,1,1,3,3,2,,,,,,,,,,
Thuốc trừ bệnh,keviar hợp trí,keviar,,,Sản phẩm,20,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/keviar-325sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,norshield,norshield,,,Sản phẩm,590,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,đồng đỏ hợp trí,norshield,,,Sản phẩm,140,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,,1,1,1,-,-,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,norshield 86.2 wg,norshield,,,Sản phẩm,140,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc norshield,norshield,,,Sản phẩm,140,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,norshield hợp trí,norshield,,,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,norshield 86.2wg 300g,norshield,,,Sản phẩm,30,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc norshield 86.2wg,norshield,,,Sản phẩm,30,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,norshield 86.2wg 50g,norshield,,,Sản phẩm,10,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc norshield trị bệnh gì,norshield,10,6,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,Thêm meta des + title,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,
Thương hiệu,giá thuốc norshield,norshield,,,Sản phẩm,50,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-86-2wg,Chưa có,"Title, meta",1,1,1,1,1,1,1,1,1,1,1,2,2,3,,,,,,,,,,
Thương hiệu,phân bón lá hợp trí,phân bón,,,DMSP,70,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,phân bón hợp trí,phân bón,,,DMSP,40,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ bệnh,ceres hợp trí,Thuốc - loại - ceres,,,Sản phẩm,10,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/ceres-600sl,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ bệnh,envio hợp trí,Thuốc - loại - đốm nâu - envio,,,Sản phẩm,20,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/envio-250sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,humic hợp trí bao 25kg,Thuốc - loại - humic,3,1,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,1,1,1,1,2,3,2,1,3,2,3,3,3,3,,,,,,,,,,
Thương hiệu,norshield 58wp,Thuốc - loại - norshield 58wp,,,Sản phẩm,140,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/norshield-58wp,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,phytocide hợp trí,Thuốc - loại - phytocide,,,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/phytocide-50wp,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ sâu,actimax 50wg,Thuốc - loại - trừ sâu - actimax 50wg,,,Sản phẩm,170,,,http://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-sau/actimax-50wg,Chưa có,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,,,,,,,,,,
Thuốc trừ bệnh,verno hợp trí,Thuốc - loại - verno,,,DMSP,30,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/verno-cu-zn-30-30,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc bảo vệ thực vật,các loại thuốc bảo vệ thực vật của hợp trí,thuốc bảo vệ thực vật,,,DMSP,90,,,https://www.hoptrisummit.com/san-pham,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc hợp trí,thuốc bảo vệ thực vật,,,DMSP,70,,,https://www.hoptrisummit.com/san-pham,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc bảo vệ thực vật hợp trí,thuốc bảo vệ thực vật,10,1,DMSP,20,,,https://www.hoptrisummit.com/san-pham,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc diệt chuột,storm hợp trí,thuốc diệt chuột storm,,,Sản phẩm,20,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc diệt chuột,thuốc diệt chuột storm,thuốc diệt chuột storm,,,Sản phẩm,590,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,,,,,,,,,
Thuốc diệt chuột,thuốc chuột storm,thuốc diệt chuột storm,10,2,Sản phẩm,260,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,,1,1,1,1,1,1,1,3,1,1,1,2,2,2,,,,,,,,,,
Thuốc diệt chuột,storm diệt chuột,thuốc diệt chuột storm,,,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,
Thuốc diệt chuột,thuốc diệt chuột sinh học storm,thuốc diệt chuột storm,11,9,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,,1,1,1,2,1,1,1,1,1,2,1,2,2,2,,,,,,,,,,
Thuốc diệt chuột,kẹo chuột storm,thuốc diệt chuột storm,,,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,"Title, meta, MĐTK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ nhện,thuốc nilmite,thuốc nilmite,,,Sản phẩm,50,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-sau/nilmite-550sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ nhện,thuốc trừ nhện nilmite,thuốc nilmite,,,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-sau/nilmite-550sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc trừ nhện đỏ hợp trí,thuốc nilmite,,,Sản phẩm,50,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-sau/nilmite-550sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc trị nhện đỏ hợp trí,thuốc nilmite,,,Sản phẩm,30,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-sau/nilmite-550sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ bệnh,thuốc agrilife,thuốc trị vi khuẩn hợp trí,,,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/agrilife-100sl,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc trị vi khuẩn hợp trí,thuốc trị vi khuẩn hợp trí,4,1,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/agrilife-100sl,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc trừ sâu hợp trí,thuốc trừ sâu,,,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Phân bón lá,super humic,humic hợp trí,,,Sản phẩm,170,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,2,2,2,3,3,2,2,1,2,2,2,2,2,2,,,,,,,,,,
Thương hiệu,giá humic hợp trí,humic hợp trí,2,,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic-dang-hat-cao-cap,Chưa có,"Title, meta",2,2,2,2,2,3,2,2,3,3,3,3,3,3,,,,,,,,,,
Thuốc diệt chuột,thuốc diệt chuột storm 1kg,Thuốc - loại - chuột storm,11,1,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,,2,2,2,2,2,2,1,2,2,2,2,2,2,3,,,,,,,,,,
Thuốc diệt chuột,thuốc chuột storm có chết người không,Thuốc - loại - chuột storm - có chết người không,0,,Bài viết,140,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,,2,2,2,2,2,2,2,2,2,2,2,3,3,3,,,,,,,,,,
Thuốc diệt chuột,thuốc storm,thuốc diệt chuột storm,,,Sản phẩm,50,,,https://www.hoptrisummit.com/san-pham/suc-khoe-cong-dong/diet-chuot/thuoc-diet-chuot-storm-0-005,Chưa có,,2,2,2,2,2,2,2,3,2,2,2,2,2,2,,,,,,,,,,
Phân bón lá,phân humic,humic hợp trí,9,,Sản phẩm,1000,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,10,10,6,15,8,12,10,12,12,13,12,17,17,-,,,,,,,,,,
Phân bón lá,phân bón lá humic,humic hợp trí,7,,Sản phẩm,90,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,10,10,11,13,13,6,13,12,6,9,7,13,13,16,,,,,,,,,,
Phân bón lá,phân bón humic,humic hợp trí,9,,Sản phẩm,590,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,14,14,10,13,8,15,-,17,15,13,9,15,15,14,,,,,,,,,,
Phân bón lá,phân hữu cơ humic,humic hợp trí,10,,Sản phẩm,90,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-super-humic,Chưa có,,17,17,9,7,9,9,10,9,9,6,10,16,16,20,,,,,,,,,,
Thương hiệu,bortrac hợp trí,bortrac yara,,,Sản phẩm,210,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/bortrac,Chưa có,,-,-,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ bệnh,envio,Thuốc - loại - đốm nâu - envio,,,Sản phẩm,140,,,,Chưa có,Thêm meta des + title,-,-,-,-,-,1,-,-,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,humic kích rễ,Thuốc - loại - humic,9,,Sản phẩm,480,,,,Chưa có,,-,-,-,-,-,-,-,-,-,-,-,-,-,ND,,,,,,,,,,
Thương hiệu,magie kẽm hợp trí,Thuốc - loại - magie kẽm,,,Sản phẩm,70,,,https://www.hoptrisummit.com/,Chưa có,,-,-,-,-,-,1,-,2,1,1,3,3,3,2,,,,,,,,,,
Thuốc điều hoà sinh trưởng,paclo sữa,Thuốc - loại - paclo,,,Sản phẩm,110,,,,Chưa có,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
Thuốc trừ bệnh,taiyou,Thuốc - loại - taiyou,,,Sản phẩm,390,,,,Chưa có,,-,-,-,-,-,10,-,-,10,-,-,1,1,2,,,,,,,,,,
Thuốc trừ sâu,thiamax 25wg,Thuốc - loại - thiamax,,,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-sau/thiamax-25wg,Chưa có,,-,-,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
